tweet_id,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf,Prediction
666020888022790149,1,welsh_springer_spaniel,0.465074,collie,0.156665,shetland_sheepdog,0.0614285,dog
666029285002620928,1,redbone,0.506826,miniature_pinscher,0.07419169999999999,rhodesian_ridgeback,0.07201,dog
666033412701032449,1,german_shepherd,0.596461,malinois,0.13858399999999998,bloodhound,0.116197,dog
666044226329800704,1,rhodesian_ridgeback,0.408143,redbone,0.360687,miniature_pinscher,0.222752,dog
666049248165822465,1,miniature_pinscher,0.560311,rottweiler,0.243682,doberman,0.154629,dog
666050758794694657,1,bernese_mountain_dog,0.651137,english_springer,0.263788,greater_swiss_mountain_dog,0.0161992,dog
666051853826850816,1,box_turtle,0.933012,mud_turtle,0.045885400000000014,terrapin,0.017885299999999996,not dog
666055525042405380,1,chow,0.692517,tibetan_mastiff,0.0582794,fur_coat,0.0544486,mixed
666057090499244032,1,shopping_cart,0.962465,shopping_basket,0.0145938,golden_retriever,0.00795896,mixed
666058600524156928,1,miniature_poodle,0.201493,komondor,0.192305,soft-coated_wheaten_terrier,0.08208610000000001,dog
666063827256086533,1,golden_retriever,0.77593,tibetan_mastiff,0.0937178,labrador_retriever,0.07242660000000001,dog
666071193221509120,1,gordon_setter,0.503672,yorkshire_terrier,0.174201,pekinese,0.109454,dog
666073100786774016,1,walker_hound,0.260857,english_foxhound,0.17538199999999998,ibizan_hound,0.0974705,dog
666082916733198337,1,pug,0.489814,bull_mastiff,0.404722,french_bulldog,0.0489595,dog
666094000022159362,1,bloodhound,0.195217,german_shepherd,0.0782598,malinois,0.07562780000000001,dog
666099513787052032,1,lhasa,0.58233,shih-tzu,0.166192,dandie_dinmont,0.0896883,dog
666102155909144576,1,english_setter,0.298617,newfoundland,0.149842,borzoi,0.133649,dog
666104133288665088,1,hen,0.965932,cock,0.0339194,partridge,5.20658e-05,not dog
666268910803644416,1,desktop_computer,0.086502,desk,0.0855474,bookcase,0.0794797,not dog
666273097616637952,1,italian_greyhound,0.176053,toy_terrier,0.111884,basenji,0.111152,dog
666287406224695296,1,maltese_dog,0.8575309999999999,toy_poodle,0.0630638,miniature_poodle,0.0255806,dog
666293911632134144,1,three-toed_sloth,0.914671,otter,0.01525,great_grey_owl,0.0132072,not dog
666337882303524864,1,ox,0.416669,newfoundland,0.278407,groenendael,0.102643,mixed
666345417576210432,1,golden_retriever,0.8587440000000001,chesapeake_bay_retriever,0.0547868,labrador_retriever,0.0142409,dog
